job,marital,education,default,balance,housing,loan,campaign,pdays,previous,y,poutcome
management,married,secondary,no,3935,yes,no,1,342,2,yes,failure
services,single,tertiary,no,363,yes,no,18,-1,0,no,unknown
management,single,tertiary,no,11971,yes,no,2,101,3,no,failure
management,single,tertiary,no,553,no,no,2,-1,0,no,unknown
blue-collar,married,secondary,no,1117,yes,no,1,-1,0,no,unknown
technician,married,tertiary,no,396,yes,no,3,-1,0,no,unknown
technician,single,tertiary,no,2204,yes,no,4,-1,0,no,unknown
management,single,tertiary,no,872,yes,no,2,-1,0,no,unknown
blue-collar,married,primary,no,145,no,no,3,5,2,no,other
blue-collar,married,primary,no,0,yes,no,1,-1,0,no,unknown
entrepreneur,single,primary,yes,-849,yes,yes,1,-1,0,no,unknown
admin.,married,unknown,no,4629,yes,no,1,92,1,yes,success
blue-collar,divorced,primary,no,844,no,no,3,-1,0,yes,unknown
technician,single,secondary,no,228,yes,no,2,-1,0,no,unknown
technician,single,secondary,no,50,no,no,2,-1,0,no,unknown
technician,married,tertiary,no,1539,yes,no,1,56,1,yes,other
blue-collar,married,secondary,no,2231,yes,no,3,-1,0,no,unknown
admin.,married,secondary,no,3064,yes,no,2,-1,0,no,unknown
management,married,secondary,no,82,no,yes,1,-1,0,no,unknown
self-employed,single,tertiary,no,2155,no,no,1,-1,0,no,unknown
retired,single,secondary,no,101,yes,yes,1,-1,0,no,unknown
technician,divorced,secondary,no,784,yes,yes,1,-1,0,no,unknown
blue-collar,married,primary,no,-516,no,yes,3,-1,0,no,unknown
retired,married,secondary,no,415,yes,no,1,-1,0,no,unknown
management,married,tertiary,no,5887,no,no,2,-1,0,no,unknown
services,married,secondary,no,1355,no,no,2,-1,0,no,unknown
admin.,married,secondary,no,16873,no,no,1,-1,0,no,unknown
blue-collar,divorced,secondary,no,203,yes,no,1,170,5,no,failure
services,married,secondary,no,338,yes,no,1,-1,0,no,unknown
technician,married,secondary,no,444,yes,no,4,-1,0,no,unknown
management,married,secondary,no,0,no,yes,3,-1,0,no,unknown
technician,single,tertiary,no,360,no,no,2,-1,0,no,unknown
management,married,tertiary,no,0,no,no,2,182,3,yes,success
entrepreneur,divorced,tertiary,yes,2,yes,no,1,-1,0,no,unknown
management,single,tertiary,no,6248,yes,no,2,-1,0,no,unknown
services,married,tertiary,no,412,yes,no,5,-1,0,no,unknown
retired,married,secondary,no,344,yes,no,1,-1,0,no,unknown
management,divorced,tertiary,no,3222,no,no,2,-1,0,no,unknown
blue-collar,divorced,secondary,no,174,yes,no,2,297,1,no,other
technician,single,secondary,no,591,no,yes,6,-1,0,no,unknown
blue-collar,divorced,primary,no,388,no,no,1,-1,0,no,unknown
unemployed,married,secondary,no,219,yes,no,2,196,1,no,failure
admin.,divorced,secondary,no,451,yes,no,1,-1,0,yes,unknown
retired,married,primary,no,5,no,no,2,-1,0,no,unknown
admin.,single,secondary,no,177,yes,yes,1,-1,0,no,unknown
services,married,secondary,no,657,no,no,2,460,2,yes,failure
management,married,tertiary,no,1315,no,no,1,-1,0,yes,unknown
blue-collar,married,primary,no,1466,yes,no,2,-1,0,no,unknown
technician,single,secondary,no,879,no,yes,4,-1,0,no,unknown
blue-collar,single,primary,no,293,yes,no,2,-1,0,no,unknown
admin.,married,secondary,no,424,yes,no,1,-1,0,no,unknown
blue-collar,married,secondary,no,1831,yes,no,2,-1,0,no,unknown
blue-collar,married,primary,no,111,no,no,2,-1,0,no,unknown
blue-collar,married,primary,no,455,yes,no,3,-1,0,no,unknown
services,single,secondary,no,-195,yes,no,1,-1,0,yes,unknown
management,single,tertiary,no,3616,no,no,2,-1,0,no,unknown
blue-collar,married,secondary,no,14093,no,no,5,-1,0,no,unknown
unknown,single,tertiary,no,1567,no,no,2,-1,0,no,unknown
admin.,married,tertiary,no,5426,yes,no,2,-1,0,no,unknown
admin.,single,tertiary,no,261,no,no,1,137,20,no,failure
blue-collar,divorced,secondary,no,2843,no,no,1,182,1,no,success
unemployed,single,primary,no,406,no,no,1,-1,0,yes,unknown
blue-collar,married,secondary,no,0,yes,no,1,-1,0,no,unknown
management,single,tertiary,no,493,yes,no,1,367,7,no,failure
technician,married,secondary,no,5996,no,no,2,-1,0,no,unknown
services,single,primary,no,3777,yes,no,2,-1,0,no,unknown
management,single,secondary,no,524,no,no,1,-1,0,no,unknown
management,single,tertiary,no,574,yes,no,2,145,3,no,failure
blue-collar,married,secondary,no,427,yes,yes,3,-1,0,no,unknown
self-employed,married,tertiary,no,483,yes,no,2,-1,0,no,unknown
unemployed,married,primary,no,3391,no,no,1,-1,0,yes,unknown
housemaid,married,primary,no,0,yes,no,3,-1,0,no,unknown
student,single,secondary,no,2488,no,no,6,169,3,yes,success
management,married,tertiary,no,1517,yes,no,5,-1,0,no,unknown
self-employed,married,secondary,no,217,yes,yes,5,-1,0,no,unknown
blue-collar,single,secondary,no,22,no,no,2,207,1,no,failure
student,single,secondary,no,331,no,no,4,-1,0,yes,unknown
technician,single,secondary,no,505,no,yes,2,-1,0,yes,unknown
services,married,secondary,no,1808,yes,no,2,-1,0,no,unknown
admin.,single,secondary,no,4111,no,yes,1,-1,0,no,unknown
blue-collar,married,primary,no,52,no,no,1,-1,0,no,unknown
management,divorced,tertiary,no,25,no,no,2,-1,0,no,unknown
admin.,divorced,secondary,no,1890,yes,no,1,-1,0,no,unknown
blue-collar,married,primary,no,419,no,no,4,-1,0,no,unknown
technician,married,secondary,no,2693,yes,no,1,-1,0,no,unknown
blue-collar,married,secondary,no,-231,no,yes,2,-1,0,no,unknown
management,single,tertiary,yes,-55,yes,no,2,266,6,no,failure
self-employed,single,tertiary,no,462,no,no,3,-1,0,yes,unknown
unemployed,single,secondary,no,119,no,no,1,-1,0,no,unknown
technician,single,secondary,no,586,no,yes,3,-1,0,no,unknown
blue-collar,single,secondary,no,228,no,no,1,288,3,no,failure
retired,divorced,tertiary,no,4659,no,no,1,-1,0,yes,unknown
blue-collar,married,primary,no,168,yes,no,3,-1,0,no,unknown
blue-collar,married,primary,no,0,yes,no,1,-1,0,no,unknown
blue-collar,married,unknown,yes,-715,yes,no,3,-1,0,no,unknown
admin.,married,unknown,no,0,yes,no,1,168,2,no,failure
technician,single,secondary,no,769,yes,no,2,-1,0,no,unknown
management,single,tertiary,no,0,no,no,10,-1,0,no,unknown
admin.,single,secondary,no,428,yes,yes,1,345,2,no,failure
management,single,tertiary,no,0,no,no,1,-1,0,no,unknown
management,married,tertiary,no,-970,yes,no,1,-1,0,yes,unknown
management,married,unknown,no,6313,no,no,2,-1,0,no,unknown
management,divorced,tertiary,no,948,no,no,2,-1,0,no,unknown
management,single,tertiary,no,0,yes,no,2,-1,0,no,unknown
services,divorced,unknown,no,1877,yes,no,1,-1,0,no,unknown
management,single,tertiary,no,874,yes,no,2,-1,0,no,unknown
admin.,married,secondary,no,323,yes,yes,2,-1,0,no,unknown
management,married,tertiary,no,106,no,yes,2,-1,0,no,unknown
retired,married,primary,no,1906,no,yes,9,-1,0,no,unknown
technician,married,secondary,no,1152,yes,no,5,-1,0,no,unknown
admin.,married,secondary,no,179,yes,no,4,436,1,no,other
technician,single,unknown,no,391,yes,no,3,-1,0,no,unknown
entrepreneur,married,unknown,no,89,yes,no,2,-1,0,no,unknown
management,single,tertiary,no,442,yes,yes,3,-1,0,no,unknown
unemployed,divorced,primary,yes,-249,yes,yes,1,-1,0,no,unknown
entrepreneur,married,secondary,no,8104,no,no,2,-1,0,no,unknown
technician,married,secondary,no,501,no,no,1,-1,0,no,unknown
technician,divorced,secondary,no,308,no,no,2,-1,0,no,unknown
admin.,married,secondary,no,602,no,no,3,90,2,yes,success
technician,married,secondary,no,273,yes,no,3,183,3,no,failure
self-employed,single,secondary,no,50,no,no,1,-1,0,no,unknown
technician,married,secondary,no,1641,yes,no,1,-1,0,no,unknown
blue-collar,married,tertiary,no,20,no,no,1,-1,0,no,unknown
admin.,single,secondary,no,4590,yes,no,2,-1,0,no,unknown
admin.,single,secondary,no,-256,no,yes,3,-1,0,no,unknown
services,married,secondary,no,978,yes,yes,2,-1,0,no,unknown
management,single,tertiary,no,80,no,no,2,146,2,yes,failure
admin.,single,secondary,no,2104,yes,no,1,-1,0,no,unknown
housemaid,married,secondary,no,499,no,no,4,-1,0,no,unknown
blue-collar,divorced,secondary,no,1269,yes,no,2,-1,0,no,unknown
technician,married,tertiary,no,310,no,no,1,-1,0,no,unknown
blue-collar,single,secondary,no,1143,yes,yes,1,-1,0,no,unknown
technician,married,secondary,no,2980,no,no,3,-1,0,no,unknown
management,single,tertiary,no,37,no,no,2,-1,0,no,unknown
admin.,single,secondary,no,462,yes,yes,1,335,4,no,other
admin.,married,secondary,no,1031,yes,no,1,-1,0,no,unknown
management,married,tertiary,no,9009,no,no,2,-1,0,no,unknown
admin.,married,secondary,no,-465,yes,yes,1,-1,0,no,unknown
admin.,married,secondary,no,5181,yes,yes,7,-1,0,no,unknown
admin.,married,secondary,no,176,yes,no,2,347,1,no,failure
unknown,married,unknown,no,1699,no,no,1,-1,0,no,unknown
admin.,married,tertiary,no,0,yes,no,2,119,1,no,failure
technician,single,tertiary,no,172,yes,yes,2,-1,0,no,unknown
services,single,secondary,no,0,no,yes,2,-1,0,no,unknown
admin.,single,secondary,no,6979,yes,no,5,-1,0,no,unknown
admin.,divorced,secondary,no,6,no,no,1,-1,0,no,unknown
services,married,secondary,no,-62,yes,no,3,-1,0,no,unknown
self-employed,married,tertiary,no,1972,yes,no,2,-1,0,no,unknown
admin.,married,tertiary,no,899,yes,no,3,7,4,no,success
services,single,secondary,no,21,yes,no,1,271,2,no,other
technician,married,secondary,no,23,yes,no,2,347,1,no,failure
retired,married,secondary,no,-1206,yes,no,2,-1,0,yes,unknown
blue-collar,married,primary,no,0,yes,yes,6,-1,0,no,unknown
self-employed,married,secondary,no,215,yes,no,12,-1,0,no,unknown
management,single,tertiary,no,1372,no,no,2,-1,0,no,unknown
services,married,secondary,no,1981,no,no,2,-1,0,no,unknown
student,single,secondary,no,9216,no,no,2,-1,0,no,unknown
retired,divorced,secondary,no,39,yes,no,3,-1,0,no,unknown
blue-collar,single,secondary,no,5563,yes,no,2,-1,0,no,unknown
services,married,secondary,no,1,no,yes,2,-1,0,no,unknown
technician,married,tertiary,no,782,no,no,1,-1,0,no,unknown
retired,married,secondary,no,3771,no,no,1,181,2,yes,success
technician,single,tertiary,no,992,yes,no,1,88,2,no,success
technician,married,secondary,no,1526,no,no,2,-1,0,no,unknown
technician,single,tertiary,no,2658,yes,no,2,141,3,yes,failure
management,divorced,tertiary,no,1315,yes,no,4,126,1,no,failure
blue-collar,single,tertiary,no,455,no,no,1,-1,0,yes,unknown
technician,single,tertiary,no,0,yes,no,2,-1,0,no,unknown
technician,married,secondary,no,2030,yes,yes,1,-1,0,no,unknown
technician,married,secondary,no,1599,yes,no,1,61,1,no,failure
services,single,secondary,no,-196,yes,no,1,271,1,no,failure
retired,married,secondary,no,1333,no,no,14,-1,0,no,unknown
technician,single,secondary,no,9149,yes,no,3,-1,0,no,unknown
blue-collar,single,secondary,no,-350,yes,no,3,-1,0,no,unknown
technician,married,tertiary,no,432,yes,no,2,373,1,no,other
self-employed,married,secondary,no,11494,no,no,1,-1,0,no,unknown
management,married,tertiary,yes,-253,no,no,4,-1,0,no,unknown
management,married,tertiary,no,372,yes,no,2,-1,0,yes,unknown
technician,married,secondary,no,1410,no,no,2,-1,0,no,unknown
blue-collar,married,secondary,no,975,yes,no,2,351,2,no,failure
blue-collar,married,primary,no,305,yes,yes,10,-1,0,no,unknown
services,married,secondary,no,400,no,no,3,-1,0,no,unknown
retired,married,tertiary,no,-22,yes,no,3,-1,0,no,unknown
technician,married,secondary,no,4030,yes,no,5,-1,0,no,unknown
blue-collar,married,primary,no,365,no,no,2,-1,0,no,unknown
self-employed,married,primary,no,204,no,no,7,-1,0,no,unknown
management,married,primary,no,1691,yes,no,1,-1,0,no,unknown
services,single,secondary,no,406,yes,no,1,-1,0,no,unknown
technician,married,secondary,no,-204,no,no,3,-1,0,no,unknown
technician,married,secondary,no,359,yes,no,1,242,1,no,other
blue-collar,married,primary,no,123,yes,no,1,-1,0,no,unknown
technician,married,tertiary,no,0,yes,yes,1,62,6,no,other
unknown,married,secondary,no,142,no,no,6,-1,0,no,unknown
entrepreneur,married,tertiary,no,3571,no,no,3,-1,0,no,unknown
technician,single,secondary,no,33,yes,no,3,351,10,no,failure
blue-collar,single,secondary,no,0,yes,no,2,91,5,no,success
student,single,secondary,no,3096,no,no,1,-1,0,no,unknown
technician,divorced,secondary,yes,20,no,no,3,-1,0,no,unknown
blue-collar,married,secondary,no,3576,yes,no,1,308,2,no,other
technician,married,unknown,no,206,yes,no,3,-1,0,no,unknown
housemaid,married,primary,no,7082,no,no,3,-1,0,no,unknown
unemployed,married,tertiary,no,1634,yes,no,4,-1,0,no,unknown
admin.,single,secondary,no,1,yes,no,7,-1,0,no,unknown
self-employed,married,tertiary,no,4012,no,no,3,-1,0,no,unknown
management,married,tertiary,no,3762,no,no,12,-1,0,no,unknown
admin.,married,secondary,no,-247,yes,yes,2,-1,0,no,unknown
blue-collar,married,secondary,no,606,yes,no,2,-1,0,no,unknown
management,married,tertiary,no,0,yes,no,1,250,1,no,other
management,married,secondary,no,-189,yes,no,2,-1,0,no,unknown
unemployed,single,secondary,no,0,no,no,2,-1,0,no,unknown
management,married,tertiary,no,484,yes,no,2,-1,0,no,unknown
technician,married,secondary,no,0,no,yes,2,172,5,no,failure
management,married,tertiary,no,395,yes,no,3,-1,0,no,unknown
management,married,tertiary,no,2349,no,no,5,-1,0,no,unknown
blue-collar,divorced,primary,no,410,no,yes,2,-1,0,no,unknown
retired,married,primary,no,3401,yes,no,3,265,2,no,failure
blue-collar,married,primary,no,222,no,no,2,-1,0,no,unknown
blue-collar,married,secondary,no,989,yes,yes,4,-1,0,no,unknown
management,married,tertiary,no,415,no,yes,2,-1,0,no,unknown
unemployed,single,secondary,no,16,no,no,4,-1,0,no,unknown
technician,divorced,tertiary,no,7190,yes,no,2,-1,0,no,unknown
blue-collar,single,secondary,no,482,no,yes,3,-1,0,yes,unknown
housemaid,married,secondary,no,209,yes,yes,1,-1,0,no,unknown
technician,single,secondary,no,0,no,no,2,-1,0,no,unknown
technician,single,tertiary,no,5803,no,no,3,-1,0,no,unknown
entrepreneur,married,tertiary,no,624,no,yes,4,-1,0,no,unknown
technician,married,tertiary,no,883,no,no,1,78,2,no,failure
self-employed,married,secondary,no,1516,yes,yes,1,-1,0,no,unknown
student,single,secondary,no,872,yes,no,1,-1,0,no,unknown
technician,married,tertiary,no,-988,yes,yes,3,-1,0,no,unknown
admin.,single,secondary,no,902,yes,no,13,-1,0,no,unknown
services,divorced,secondary,no,1007,no,no,6,-1,0,no,unknown
services,married,secondary,no,0,yes,no,1,28,3,no,failure
blue-collar,single,secondary,no,174,yes,yes,1,-1,0,yes,unknown
management,married,secondary,no,12186,no,no,3,-1,0,no,unknown
self-employed,married,secondary,no,524,yes,no,4,-1,0,no,unknown
blue-collar,single,tertiary,no,0,yes,no,4,-1,0,no,unknown
technician,married,secondary,no,4,yes,no,1,-1,0,no,unknown
housemaid,married,tertiary,no,11219,no,no,2,79,1,no,failure
technician,single,tertiary,no,0,no,no,2,-1,0,no,unknown
blue-collar,married,primary,no,5776,no,no,3,-1,0,no,unknown
blue-collar,divorced,primary,no,37,yes,no,1,-1,0,no,unknown
self-employed,married,tertiary,no,593,no,no,2,-1,0,no,unknown
blue-collar,married,secondary,no,1148,yes,no,1,-1,0,no,unknown
blue-collar,single,secondary,no,3561,yes,no,1,-1,0,no,unknown
admin.,divorced,secondary,no,63,no,no,6,-1,0,no,unknown
student,married,secondary,no,260,no,no,6,-1,0,no,unknown
technician,single,tertiary,no,2269,yes,no,1,-1,0,no,unknown
admin.,married,secondary,no,1060,yes,no,3,-1,0,no,unknown
self-employed,married,secondary,no,-220,yes,no,2,-1,0,no,unknown
management,married,tertiary,no,49,yes,no,5,-1,0,no,unknown
admin.,married,tertiary,no,69,no,yes,3,1,6,yes,success
blue-collar,married,primary,no,4108,yes,no,2,-1,0,yes,unknown
blue-collar,married,secondary,no,480,yes,no,2,-1,0,no,unknown
services,married,secondary,no,4994,no,no,6,-1,0,no,unknown
technician,divorced,secondary,no,0,yes,yes,5,-1,0,no,unknown
management,married,tertiary,no,3681,no,no,2,-1,0,no,unknown
entrepreneur,divorced,unknown,yes,-701,yes,no,2,-1,0,yes,unknown
management,married,tertiary,no,451,no,no,1,-1,0,no,unknown
blue-collar,divorced,primary,no,-311,yes,no,1,-1,0,yes,unknown
entrepreneur,married,secondary,no,593,yes,yes,24,-1,0,yes,unknown
blue-collar,married,secondary,no,759,yes,no,5,-1,0,yes,unknown
retired,divorced,primary,no,4531,no,no,1,-1,0,no,unknown
retired,divorced,primary,no,1840,no,no,2,188,5,no,failure
blue-collar,married,secondary,no,345,yes,no,1,-1,0,no,unknown
blue-collar,married,secondary,no,1287,yes,no,2,-1,0,no,unknown
management,married,unknown,no,353,no,yes,2,-1,0,no,unknown
technician,married,secondary,no,205,no,yes,2,-1,0,no,unknown
entrepreneur,married,secondary,no,687,yes,no,1,-1,0,yes,unknown
unemployed,married,primary,no,1147,yes,yes,5,-1,0,no,unknown
management,married,tertiary,no,4286,yes,no,1,-1,0,no,unknown
admin.,married,tertiary,no,605,no,no,2,-1,0,no,unknown
blue-collar,married,secondary,no,8545,yes,yes,7,167,1,no,failure
management,married,unknown,no,559,no,no,2,-1,0,no,unknown
blue-collar,single,primary,no,2,yes,no,3,-1,0,no,unknown
management,married,tertiary,no,2,no,yes,2,-1,0,no,unknown
admin.,single,tertiary,no,760,yes,no,3,89,2,yes,failure
blue-collar,married,primary,no,1317,yes,no,2,-1,0,no,unknown
blue-collar,married,secondary,no,182,no,no,1,-1,0,no,unknown
admin.,married,primary,no,276,no,yes,6,-1,0,no,unknown
entrepreneur,married,secondary,no,2971,no,no,4,164,2,yes,failure
unemployed,single,secondary,no,1064,no,no,1,-1,0,no,unknown
admin.,married,unknown,no,1783,no,no,11,-1,0,no,unknown
blue-collar,married,secondary,no,-67,no,no,1,-1,0,no,unknown
self-employed,single,tertiary,no,179,no,yes,4,-1,0,no,unknown
management,married,tertiary,no,1199,no,no,1,1,1,yes,success
blue-collar,married,primary,no,214,yes,yes,1,-1,0,no,unknown
technician,married,secondary,no,6699,no,no,1,462,1,no,failure
unemployed,married,secondary,no,1760,no,yes,1,-1,0,no,unknown
entrepreneur,single,tertiary,no,145,yes,no,2,-1,0,yes,unknown
unemployed,married,secondary,no,978,no,no,3,209,3,yes,success
admin.,single,secondary,no,1150,yes,no,1,-1,0,no,unknown
admin.,married,secondary,no,121,no,no,6,-1,0,no,unknown
technician,single,tertiary,no,828,yes,no,3,321,3,no,other
admin.,married,secondary,no,244,yes,no,4,-1,0,no,unknown
services,married,primary,no,228,yes,no,6,-1,0,yes,unknown
management,single,tertiary,no,424,no,no,4,-1,0,yes,unknown
management,divorced,tertiary,no,447,no,yes,1,-1,0,no,unknown
blue-collar,married,primary,no,-195,no,no,1,-1,0,no,unknown
management,single,tertiary,no,1410,yes,no,1,254,5,no,failure
retired,married,primary,no,1084,no,no,1,183,1,no,success
self-employed,divorced,primary,no,10924,no,no,2,-1,0,no,unknown
management,married,tertiary,no,832,yes,yes,1,176,1,no,failure
retired,married,tertiary,no,478,no,no,1,-1,0,no,unknown
management,single,tertiary,no,0,no,yes,1,-1,0,no,unknown
self-employed,single,tertiary,no,3950,yes,no,2,-1,0,no,unknown
management,single,unknown,no,504,yes,no,1,-1,0,no,unknown
blue-collar,single,secondary,no,219,yes,yes,2,347,1,no,failure
management,married,tertiary,no,1602,no,no,3,-1,0,no,unknown
management,married,primary,no,2587,no,no,2,94,2,yes,success
admin.,married,secondary,no,0,yes,yes,1,-1,0,no,unknown
self-employed,married,tertiary,no,2303,yes,no,2,364,1,no,failure
blue-collar,married,secondary,no,1660,yes,no,1,-1,0,no,unknown
management,married,tertiary,yes,32,yes,no,1,-1,0,no,unknown
management,married,tertiary,no,278,no,yes,3,-1,0,no,unknown
management,married,tertiary,no,4,no,no,1,96,2,no,failure
management,married,tertiary,no,318,yes,no,2,356,4,no,failure
services,single,secondary,no,209,yes,no,2,-1,0,no,unknown
services,married,secondary,no,271,yes,no,4,-1,0,no,unknown
management,single,unknown,no,3196,no,no,2,-1,0,no,unknown
admin.,divorced,secondary,no,4099,no,no,2,-1,0,yes,unknown
student,single,secondary,no,2572,yes,no,1,-1,0,no,unknown
management,single,tertiary,no,339,no,no,6,-1,0,no,unknown
blue-collar,married,primary,no,0,yes,yes,2,-1,0,no,unknown
housemaid,married,primary,no,395,yes,no,2,-1,0,no,unknown
blue-collar,married,secondary,no,2039,yes,no,2,-1,0,no,unknown
management,married,tertiary,no,5450,no,no,2,-1,0,no,unknown
student,single,secondary,no,780,no,no,1,-1,0,no,unknown
technician,single,secondary,no,0,yes,no,2,-1,0,no,unknown
management,single,tertiary,no,8436,yes,no,1,149,2,no,failure
technician,single,primary,no,11262,no,no,1,-1,0,yes,unknown
entrepreneur,married,secondary,no,946,yes,no,1,183,1,no,other
housemaid,married,tertiary,no,497,no,no,5,-1,0,no,unknown
retired,married,primary,no,55,no,no,1,-1,0,no,unknown
services,married,secondary,no,-140,no,no,3,-1,0,no,unknown
technician,married,secondary,no,-379,yes,no,1,-1,0,no,unknown
admin.,married,secondary,no,-396,yes,no,1,308,4,no,failure
services,single,secondary,no,0,yes,no,6,363,9,no,failure
management,married,primary,no,733,yes,no,7,-1,0,no,unknown
management,married,tertiary,no,393,yes,no,3,275,4,yes,failure
technician,divorced,primary,no,7290,yes,no,1,-1,0,no,unknown
services,single,secondary,no,468,yes,no,1,-1,0,no,unknown
blue-collar,married,secondary,no,0,yes,no,1,325,1,no,failure
blue-collar,married,primary,no,3705,yes,no,1,-1,0,no,unknown
retired,married,tertiary,no,9676,no,no,2,-1,0,yes,unknown
services,married,secondary,no,1328,yes,no,2,341,4,no,failure
blue-collar,married,primary,no,8,yes,no,2,-1,0,no,unknown
blue-collar,married,primary,no,61,no,no,1,-1,0,no,unknown
management,married,tertiary,no,6613,no,no,3,-1,0,no,unknown
technician,married,secondary,no,302,yes,no,3,-1,0,no,unknown
blue-collar,married,secondary,no,1005,no,no,1,-1,0,no,unknown
services,married,secondary,no,109,yes,no,3,-1,0,no,unknown
management,single,tertiary,no,1240,yes,no,2,260,1,no,other
blue-collar,single,primary,no,0,yes,yes,4,-1,0,no,unknown
retired,married,unknown,no,2923,no,no,1,-1,0,no,unknown
technician,married,secondary,no,0,no,no,4,-1,0,no,unknown
blue-collar,married,secondary,no,43,yes,no,2,358,2,no,failure
technician,married,secondary,no,288,yes,no,4,-1,0,no,unknown
admin.,married,secondary,no,613,yes,no,1,-1,0,no,unknown
technician,single,tertiary,no,6101,no,no,5,87,1,no,success
blue-collar,married,primary,no,168,yes,yes,3,-1,0,no,unknown
blue-collar,married,primary,no,7685,yes,no,3,-1,0,no,unknown
technician,divorced,tertiary,no,4515,yes,no,2,-1,0,no,unknown
blue-collar,single,secondary,no,517,no,yes,1,-1,0,yes,unknown
blue-collar,single,secondary,no,148,no,no,1,-1,0,no,unknown
retired,married,primary,yes,-285,no,yes,1,-1,0,no,unknown
blue-collar,married,secondary,no,887,no,no,1,-1,0,no,unknown
self-employed,married,secondary,no,3098,yes,no,2,-1,0,no,unknown
technician,married,tertiary,no,744,yes,no,1,-1,0,no,unknown
technician,married,secondary,no,130,no,no,2,-1,0,no,unknown
management,married,secondary,no,438,yes,no,3,303,1,no,failure
admin.,married,secondary,no,0,no,no,1,98,2,yes,failure
management,married,tertiary,no,322,no,no,4,-1,0,no,unknown
blue-collar,single,secondary,no,186,no,no,1,-1,0,no,unknown
retired,divorced,tertiary,no,3810,yes,no,1,183,1,yes,failure
management,married,tertiary,no,0,no,no,2,-1,0,no,unknown
blue-collar,married,secondary,no,4380,no,no,7,-1,0,no,unknown
management,divorced,tertiary,no,755,no,no,4,-1,0,yes,unknown
services,single,secondary,no,2070,no,no,2,-1,0,no,unknown
blue-collar,single,primary,no,999,no,no,2,-1,0,no,unknown
self-employed,married,secondary,no,167,yes,yes,1,-1,0,no,unknown
technician,married,secondary,no,1322,yes,yes,1,-1,0,no,unknown
admin.,divorced,secondary,no,1076,yes,no,1,-1,0,no,unknown
management,married,tertiary,no,502,yes,no,1,351,1,no,failure
technician,single,tertiary,no,1216,yes,no,2,-1,0,no,unknown
management,single,tertiary,no,876,yes,no,4,327,2,no,failure
services,single,secondary,no,342,yes,no,1,-1,0,no,unknown
blue-collar,single,primary,no,950,yes,no,3,-1,0,no,unknown
blue-collar,married,primary,no,973,yes,yes,1,-1,0,no,unknown
technician,married,tertiary,no,3825,yes,no,1,-1,0,no,unknown
blue-collar,married,secondary,no,2366,yes,no,2,-1,0,no,unknown
management,married,tertiary,no,542,yes,no,1,-1,0,no,unknown
management,married,primary,no,995,no,no,3,-1,0,no,unknown
management,married,tertiary,no,20,yes,no,1,-1,0,no,unknown
technician,single,tertiary,no,228,yes,no,4,-1,0,no,unknown
blue-collar,married,secondary,no,130,no,no,1,337,3,no,failure
management,married,tertiary,no,217,no,yes,2,-1,0,no,unknown
