job,marital,education,default,balance,housing,loan,campaign,pdays,previous,y,poutcome
technician,single,secondary,no,3,no,no,8,349,6,no,failure
student,single,unknown,no,1281,no,no,1,117,1,no,failure
blue-collar,single,secondary,no,445,yes,no,1,330,2,no,failure
management,married,secondary,no,643,yes,no,2,256,1,no,failure
management,married,tertiary,no,-1212,yes,no,2,333,18,no,failure
technician,married,secondary,no,2125,yes,yes,3,116,4,no,failure
management,single,tertiary,no,112,yes,no,2,271,1,no,failure
management,single,secondary,no,671,yes,yes,2,259,5,no,failure
blue-collar,married,secondary,no,-461,no,no,2,353,1,no,failure
technician,single,tertiary,no,144,yes,yes,1,85,19,no,failure
technician,married,secondary,no,150,yes,yes,6,349,1,no,failure
technician,single,secondary,no,102,yes,no,2,345,2,no,failure
entrepreneur,married,primary,no,58,yes,no,3,371,3,no,failure
management,single,tertiary,no,882,no,yes,1,205,2,no,failure
student,single,tertiary,no,5291,no,no,2,92,2,yes,failure
management,single,secondary,no,61,yes,no,2,246,1,no,failure
technician,single,tertiary,no,3,yes,no,2,169,2,no,failure
admin.,married,tertiary,no,35,yes,no,1,69,2,no,failure
management,married,tertiary,no,-29,no,no,2,266,2,no,failure
admin.,married,primary,no,3913,yes,no,2,315,2,no,failure
management,married,tertiary,no,222,yes,no,1,169,2,no,failure
technician,married,secondary,no,196,yes,yes,1,273,3,no,failure
blue-collar,married,secondary,no,6411,yes,yes,1,266,2,no,failure
self-employed,married,primary,no,1013,yes,no,1,461,1,yes,failure
technician,single,secondary,no,5436,yes,no,11,351,1,no,failure
management,single,tertiary,no,673,yes,yes,1,184,1,no,failure
student,single,secondary,no,291,no,no,5,371,5,no,failure
technician,married,secondary,no,994,yes,no,1,78,5,yes,failure
blue-collar,divorced,secondary,no,1613,yes,no,1,270,3,yes,failure
technician,single,unknown,no,7108,yes,yes,1,172,3,no,failure
management,single,tertiary,no,726,yes,no,1,342,3,no,failure
admin.,married,tertiary,no,1988,no,no,2,130,2,yes,failure
management,divorced,tertiary,no,2096,no,no,1,100,2,no,failure
management,married,tertiary,no,1831,no,no,1,92,1,no,failure
blue-collar,single,primary,no,851,yes,no,1,352,1,no,failure
blue-collar,married,secondary,no,137,no,yes,1,808,12,no,failure
technician,married,secondary,no,1,no,no,2,378,3,yes,failure
technician,married,secondary,no,2789,yes,no,2,94,1,no,failure
technician,single,tertiary,no,-411,yes,no,5,292,3,no,failure
technician,married,tertiary,no,4089,no,no,7,287,3,no,failure
management,single,tertiary,no,243,yes,no,2,360,3,no,failure
admin.,married,secondary,no,1934,no,yes,1,364,1,no,failure
management,single,tertiary,no,62,yes,no,1,293,5,no,failure
management,married,tertiary,no,-470,yes,no,2,170,3,no,failure
blue-collar,single,secondary,no,706,yes,no,1,322,1,no,failure
management,married,secondary,no,1825,yes,no,1,346,1,no,failure
self-employed,married,tertiary,no,185,no,no,5,138,1,no,failure
blue-collar,married,unknown,no,0,no,no,1,193,3,no,failure
retired,single,secondary,no,1640,no,yes,6,274,4,no,failure
admin.,divorced,secondary,no,174,yes,no,1,364,1,no,failure
management,single,tertiary,no,490,no,no,8,98,1,yes,failure
blue-collar,married,secondary,no,160,yes,no,1,359,1,no,failure
services,married,secondary,no,54,yes,no,1,370,1,no,failure
blue-collar,married,primary,no,298,yes,no,2,370,2,no,failure
management,married,tertiary,no,913,yes,no,1,674,4,no,failure
management,married,secondary,no,625,yes,no,1,138,1,no,failure
services,married,secondary,no,867,yes,no,2,211,3,no,failure
retired,married,secondary,no,8304,no,no,1,64,12,yes,failure
management,married,tertiary,no,60,no,no,2,339,7,no,failure
blue-collar,married,primary,no,91,yes,no,1,356,2,no,failure
entrepreneur,married,tertiary,no,171,yes,no,1,191,4,no,failure
blue-collar,divorced,primary,no,142,yes,no,2,300,5,no,failure
management,single,tertiary,no,1509,no,no,2,124,1,no,failure
management,divorced,tertiary,no,69,yes,no,2,280,2,no,failure
admin.,married,secondary,no,1499,yes,no,1,327,2,no,failure
retired,married,primary,no,425,no,no,1,140,1,yes,failure
admin.,married,secondary,no,299,yes,no,1,321,1,no,failure
services,married,secondary,no,254,yes,no,2,337,1,no,failure
management,single,tertiary,no,553,yes,no,4,479,1,no,failure
technician,single,secondary,no,341,no,yes,1,262,3,no,failure
technician,divorced,primary,no,13,yes,no,2,368,2,no,failure
management,married,tertiary,no,3696,no,no,1,182,3,no,failure
management,married,tertiary,no,0,yes,no,5,303,2,no,failure
technician,single,tertiary,no,7546,yes,no,1,122,3,no,failure
blue-collar,married,secondary,no,0,yes,no,1,7,2,no,failure
technician,married,secondary,no,1415,yes,no,1,116,1,no,failure
technician,married,secondary,no,286,no,no,1,343,4,no,failure
blue-collar,married,secondary,no,1663,yes,no,3,327,1,no,failure
services,married,secondary,no,4760,yes,no,2,169,2,no,failure
self-employed,married,secondary,no,634,yes,no,1,131,1,no,failure
entrepreneur,married,tertiary,no,1544,no,yes,7,196,3,no,failure
services,single,unknown,no,6145,yes,no,1,287,13,no,failure
management,married,tertiary,no,539,no,no,2,115,3,no,failure
retired,married,secondary,no,2815,no,no,2,182,1,no,failure
management,married,secondary,no,6217,yes,yes,2,181,2,no,failure
services,married,secondary,no,1746,yes,no,1,316,1,no,failure
technician,married,secondary,no,821,yes,yes,2,180,1,no,failure
blue-collar,married,primary,no,699,no,no,1,154,6,no,failure
unemployed,divorced,secondary,no,759,no,no,1,169,3,no,failure
blue-collar,married,secondary,no,687,yes,no,2,370,1,no,failure
retired,married,secondary,no,4968,no,no,1,87,2,no,failure
admin.,divorced,secondary,no,356,yes,no,3,313,1,no,failure
management,married,tertiary,no,4761,yes,no,2,350,2,no,failure
admin.,married,secondary,no,168,yes,no,2,169,1,no,failure
management,single,tertiary,no,3283,no,no,1,73,1,yes,failure
unemployed,divorced,secondary,no,507,yes,no,1,266,7,no,failure
blue-collar,married,secondary,no,2190,no,yes,2,232,1,no,failure
management,married,secondary,no,4415,yes,no,3,141,7,yes,failure
admin.,single,secondary,no,2398,yes,no,1,180,2,yes,failure
admin.,married,secondary,no,197,yes,no,1,182,2,yes,failure
housemaid,single,tertiary,no,3232,no,no,1,204,3,no,failure
admin.,single,secondary,no,1992,no,no,1,87,2,no,failure
management,single,tertiary,no,297,yes,no,4,375,1,yes,failure
services,single,secondary,no,1175,yes,no,1,333,2,no,failure
retired,married,tertiary,no,15834,no,no,3,186,1,no,failure
blue-collar,married,secondary,no,373,yes,no,9,344,1,no,failure
management,married,tertiary,no,4374,yes,no,2,113,3,no,failure
services,single,secondary,no,774,yes,no,2,259,1,no,failure
blue-collar,married,primary,no,2240,yes,no,1,183,1,no,failure
management,married,primary,no,-679,yes,yes,1,343,2,no,failure
services,divorced,secondary,no,991,yes,no,1,344,1,no,failure
blue-collar,single,secondary,no,180,no,no,1,183,2,no,failure
technician,single,secondary,no,440,yes,no,2,345,2,no,failure
technician,married,secondary,no,-735,yes,no,5,248,2,no,failure
technician,divorced,secondary,no,902,yes,no,2,180,5,yes,failure
retired,married,secondary,no,1139,yes,no,1,177,7,no,failure
blue-collar,married,secondary,no,0,no,no,1,150,1,no,failure
student,single,primary,no,3472,no,no,1,183,3,yes,failure
blue-collar,married,primary,no,474,yes,yes,3,221,1,no,failure
entrepreneur,single,tertiary,no,1410,yes,no,1,189,8,no,failure
admin.,single,tertiary,no,980,no,no,4,104,7,no,failure
retired,married,primary,no,680,no,no,2,89,7,no,failure
technician,married,secondary,no,-259,yes,no,1,247,2,no,failure
technician,single,secondary,no,105,yes,no,2,171,3,no,failure
blue-collar,married,secondary,no,2926,yes,yes,3,120,2,no,failure
blue-collar,married,primary,no,60,yes,no,1,337,1,no,failure
admin.,single,tertiary,no,1583,yes,no,1,182,1,no,failure
blue-collar,single,secondary,no,1065,yes,yes,1,317,1,no,failure
unemployed,married,secondary,no,-13,yes,no,1,364,1,no,failure
blue-collar,single,secondary,no,609,yes,no,1,335,1,no,failure
management,single,tertiary,no,0,yes,no,2,182,6,yes,failure
blue-collar,married,primary,no,42,yes,no,2,342,3,no,failure
management,married,primary,no,1727,no,no,4,358,2,yes,failure
blue-collar,married,primary,no,230,yes,no,2,170,2,no,failure
blue-collar,married,unknown,no,486,yes,no,1,363,1,no,failure
technician,married,secondary,no,1167,yes,no,1,87,5,yes,failure
management,single,tertiary,no,35,yes,no,1,273,3,no,failure
retired,married,tertiary,no,473,no,no,1,78,1,no,failure
self-employed,divorced,tertiary,no,1513,no,no,1,342,1,no,failure
technician,divorced,secondary,no,348,yes,no,2,275,2,no,failure
housemaid,married,tertiary,no,1265,yes,no,5,179,4,yes,failure
blue-collar,divorced,primary,no,602,yes,no,1,284,2,no,failure
services,married,secondary,no,386,no,no,1,92,4,yes,failure
blue-collar,single,secondary,no,33,yes,no,1,368,4,no,failure
services,married,secondary,no,1438,yes,no,1,351,2,no,failure
management,divorced,tertiary,no,26306,yes,no,1,84,3,no,failure
management,married,tertiary,no,3301,yes,no,2,227,4,yes,failure
student,single,secondary,no,822,no,no,1,91,2,yes,failure
blue-collar,married,secondary,no,139,yes,yes,2,291,5,yes,failure
management,single,tertiary,no,46,no,yes,1,152,1,no,failure
admin.,single,secondary,no,10,no,yes,1,173,3,no,failure
unemployed,divorced,tertiary,no,780,no,no,1,871,2,no,failure
management,single,tertiary,no,1531,yes,no,3,170,1,no,failure
retired,married,secondary,no,502,yes,no,2,370,3,no,failure
management,single,tertiary,no,171,yes,no,1,294,1,no,failure
entrepreneur,married,secondary,no,2,yes,yes,1,167,6,no,failure
technician,single,secondary,no,769,yes,no,1,371,2,no,failure
technician,married,tertiary,no,6,yes,no,1,435,1,no,failure
admin.,married,secondary,no,225,yes,no,1,340,1,no,failure
admin.,single,tertiary,no,490,yes,no,1,363,2,no,failure
services,single,secondary,no,512,yes,yes,5,239,3,no,failure
services,single,secondary,no,417,yes,no,10,207,3,no,failure
blue-collar,divorced,secondary,no,1491,yes,no,2,334,2,no,failure
management,married,tertiary,no,877,no,no,1,83,5,no,failure
technician,married,secondary,no,0,yes,yes,2,172,1,no,failure
student,single,secondary,no,203,no,no,1,196,1,no,failure
technician,married,secondary,no,1818,no,yes,2,111,4,no,failure
unemployed,married,secondary,no,1289,no,no,4,415,2,yes,failure
retired,married,primary,no,796,no,no,1,182,2,yes,failure
management,married,tertiary,no,691,yes,yes,1,255,1,no,failure
management,married,secondary,no,724,yes,no,2,415,1,yes,failure
blue-collar,married,secondary,no,-28,yes,no,2,371,1,no,failure
blue-collar,married,primary,no,665,no,no,4,235,2,no,failure
blue-collar,single,primary,no,155,yes,no,1,244,4,no,failure
management,married,tertiary,no,1667,yes,no,2,179,3,no,failure
admin.,divorced,secondary,no,769,no,no,2,363,4,no,failure
unknown,married,unknown,no,558,no,no,1,683,6,yes,failure
blue-collar,married,secondary,no,1257,yes,no,3,329,7,no,failure
management,single,tertiary,no,8106,no,no,1,111,3,no,failure
entrepreneur,divorced,primary,no,29,no,no,2,227,1,no,failure
unemployed,married,tertiary,no,377,no,no,1,59,2,no,failure
admin.,divorced,secondary,no,479,yes,no,1,350,5,yes,failure
blue-collar,married,secondary,no,1071,yes,no,3,357,1,no,failure
admin.,married,secondary,no,865,yes,no,1,151,1,no,failure
technician,married,secondary,no,4,no,no,2,260,4,no,failure
blue-collar,single,primary,no,367,no,no,1,221,1,no,failure
admin.,married,secondary,no,725,yes,no,3,99,8,no,failure
blue-collar,married,secondary,no,776,yes,no,4,253,1,no,failure
admin.,single,tertiary,no,3672,yes,no,2,351,5,no,failure
blue-collar,single,secondary,no,0,yes,no,1,192,4,yes,failure
admin.,married,secondary,no,92,yes,no,2,350,1,no,failure
admin.,married,secondary,no,0,yes,yes,2,259,2,no,failure
self-employed,married,tertiary,no,560,yes,no,1,136,1,no,failure
blue-collar,married,secondary,no,1521,yes,yes,2,178,5,no,failure
technician,divorced,secondary,no,809,yes,no,2,363,4,no,failure
technician,divorced,tertiary,no,477,yes,no,1,366,1,no,failure
technician,single,secondary,no,230,yes,no,1,266,8,yes,failure
admin.,married,secondary,no,-396,yes,no,1,350,1,no,failure
management,married,tertiary,no,1657,yes,no,2,356,4,no,failure
technician,married,secondary,no,994,no,no,1,241,1,no,failure
blue-collar,married,secondary,no,1221,yes,no,1,90,8,no,failure
blue-collar,married,secondary,no,2157,yes,no,1,364,2,no,failure
management,married,primary,no,22856,no,no,1,388,1,no,failure
management,married,tertiary,no,1582,no,no,2,197,1,no,failure
blue-collar,married,primary,no,881,yes,no,1,370,2,no,failure
self-employed,married,secondary,no,167,yes,yes,4,295,1,no,failure
technician,single,tertiary,no,1625,no,no,1,109,1,yes,failure
blue-collar,single,primary,no,8627,yes,no,1,346,1,no,failure
management,single,tertiary,no,697,no,no,1,99,3,no,failure
blue-collar,married,primary,no,655,yes,no,2,258,4,no,failure
admin.,single,tertiary,no,14,no,no,1,120,1,no,failure
admin.,married,secondary,no,260,yes,no,1,281,1,no,failure
blue-collar,married,secondary,no,2039,yes,no,1,169,2,yes,failure
services,married,unknown,no,88,yes,no,1,336,2,no,failure
blue-collar,married,primary,no,147,yes,no,2,169,3,no,failure
technician,married,secondary,no,55,yes,no,2,369,4,no,failure
management,married,tertiary,no,552,yes,yes,2,124,1,no,failure
blue-collar,married,secondary,no,1787,yes,no,4,357,4,no,failure
management,single,tertiary,no,12569,no,no,1,295,1,yes,failure
blue-collar,married,secondary,no,4855,yes,no,1,397,1,no,failure
blue-collar,married,secondary,no,346,yes,no,1,316,1,no,failure
entrepreneur,married,tertiary,no,1514,no,yes,3,120,3,no,failure
entrepreneur,single,secondary,no,2543,no,no,1,414,4,yes,failure
blue-collar,married,primary,no,828,yes,no,1,349,1,no,failure
blue-collar,married,secondary,no,508,yes,no,1,154,1,no,failure
blue-collar,married,secondary,no,342,yes,no,2,175,1,no,failure
blue-collar,single,tertiary,no,1830,no,no,1,91,11,no,failure
management,single,tertiary,no,16957,yes,no,1,247,2,no,failure
technician,divorced,secondary,no,-54,yes,yes,2,292,1,yes,failure
admin.,married,secondary,no,2374,yes,no,1,209,2,yes,failure
admin.,single,secondary,no,92,yes,no,1,315,2,no,failure
blue-collar,married,primary,no,1397,yes,no,2,334,1,no,failure
technician,married,secondary,no,4030,yes,no,2,177,5,no,failure
admin.,married,secondary,no,0,no,no,2,275,1,no,failure
management,single,tertiary,no,1696,yes,no,1,474,3,yes,failure
technician,single,secondary,no,347,yes,no,2,197,6,no,failure
management,married,tertiary,no,523,yes,no,4,366,2,no,failure
retired,married,secondary,no,3948,no,no,1,135,3,no,failure
retired,married,primary,no,747,no,no,3,93,1,no,failure
self-employed,married,tertiary,no,585,yes,no,1,181,3,no,failure
technician,married,secondary,no,232,yes,yes,1,261,1,no,failure
self-employed,married,tertiary,no,451,yes,no,1,249,2,no,failure
admin.,single,secondary,no,678,yes,no,1,246,4,yes,failure
technician,divorced,secondary,no,976,yes,no,1,338,2,no,failure
blue-collar,married,secondary,no,6053,no,no,2,190,1,no,failure
admin.,married,secondary,no,725,yes,no,7,133,1,no,failure
management,divorced,tertiary,no,481,yes,no,2,298,3,no,failure
retired,married,primary,no,680,no,no,4,94,3,no,failure
admin.,married,secondary,no,22171,yes,no,1,355,3,no,failure
blue-collar,single,secondary,no,53,yes,no,1,195,1,no,failure
blue-collar,married,secondary,no,2087,yes,no,1,474,1,yes,failure
management,married,tertiary,no,24,yes,no,1,231,2,no,failure
entrepreneur,married,primary,no,0,no,no,2,153,1,no,failure
technician,divorced,secondary,no,202,yes,no,1,201,1,no,failure
management,single,tertiary,no,427,yes,no,3,169,2,no,failure
retired,married,tertiary,no,846,no,no,1,181,3,yes,failure
self-employed,married,tertiary,no,980,no,no,2,336,6,no,failure
admin.,married,tertiary,no,79,yes,no,2,335,2,yes,failure
management,single,tertiary,no,808,no,no,2,114,2,yes,failure
management,married,tertiary,no,22546,yes,no,6,267,4,no,failure
blue-collar,married,secondary,no,228,yes,no,8,342,9,no,failure
services,married,secondary,no,-378,yes,yes,1,295,6,no,failure
admin.,married,secondary,no,865,yes,no,1,111,3,no,failure
admin.,married,secondary,no,389,yes,no,1,185,2,no,failure
entrepreneur,married,secondary,no,1847,yes,no,3,321,6,no,failure
services,divorced,secondary,no,4664,no,no,4,114,1,no,failure
unemployed,married,tertiary,no,-471,yes,no,3,185,7,no,failure
admin.,married,unknown,no,2033,no,no,1,186,4,no,failure
admin.,divorced,unknown,no,789,yes,no,1,360,2,no,failure
blue-collar,married,unknown,no,897,yes,no,2,280,2,no,failure
management,single,tertiary,no,8669,yes,no,3,150,6,no,failure
admin.,married,secondary,no,72,yes,yes,2,352,2,no,failure
blue-collar,married,primary,no,7735,yes,no,1,190,1,no,failure
management,single,tertiary,no,21,yes,no,4,371,3,no,failure
services,married,secondary,no,8876,no,no,1,75,1,no,failure
blue-collar,married,secondary,no,360,yes,no,1,182,2,no,failure
blue-collar,married,primary,no,1291,yes,no,3,259,17,no,failure
unemployed,married,secondary,no,0,yes,no,1,183,1,no,failure
management,married,secondary,no,-559,yes,yes,1,167,2,no,failure
management,single,tertiary,no,-679,yes,yes,1,93,1,no,failure
self-employed,married,secondary,no,31,yes,no,2,181,4,no,failure
management,single,tertiary,no,347,yes,no,1,264,6,no,failure
services,divorced,secondary,no,2411,yes,no,1,161,1,yes,failure
admin.,single,secondary,no,1544,yes,no,1,312,1,no,failure
technician,married,secondary,no,6,yes,no,3,357,4,no,failure
admin.,married,secondary,no,-650,no,no,2,364,1,no,failure
housemaid,married,tertiary,no,0,no,no,1,188,1,no,failure
blue-collar,married,secondary,no,-1400,yes,no,3,355,4,no,failure
retired,married,secondary,no,1164,no,no,3,185,2,no,failure
self-employed,married,tertiary,no,202,yes,no,1,148,4,no,failure
technician,married,tertiary,no,629,yes,yes,1,246,1,no,failure
student,single,secondary,no,268,yes,no,1,358,2,no,failure
management,single,tertiary,no,2,no,no,1,85,1,no,failure
student,single,unknown,no,5969,no,no,2,127,8,no,failure
services,single,secondary,no,5533,yes,no,2,283,4,no,failure
admin.,single,secondary,no,30,yes,no,1,266,3,no,failure
management,single,tertiary,no,0,yes,no,4,369,3,no,failure
management,divorced,tertiary,no,497,no,no,1,363,22,no,failure
technician,married,tertiary,no,858,yes,no,7,330,1,no,failure
housemaid,married,primary,no,0,no,no,1,189,1,yes,failure
admin.,divorced,primary,no,179,yes,no,1,368,2,no,failure
blue-collar,married,primary,no,-97,yes,no,4,271,5,no,failure
housemaid,divorced,secondary,no,1040,yes,no,1,173,2,no,failure
retired,married,secondary,no,424,no,no,1,154,3,no,failure
management,married,tertiary,no,-470,yes,no,2,160,1,no,failure
retired,divorced,unknown,no,2628,no,no,7,450,2,no,failure
services,married,secondary,no,96,yes,no,3,340,2,no,failure
technician,divorced,secondary,no,3450,no,no,1,183,1,yes,failure
management,divorced,tertiary,no,3355,no,no,2,500,1,no,failure
unemployed,single,unknown,no,3274,yes,no,1,95,1,no,failure
management,married,tertiary,no,623,yes,no,2,349,5,no,failure
admin.,married,secondary,no,3540,yes,no,1,178,1,no,failure
blue-collar,married,unknown,no,-120,yes,no,3,201,2,no,failure
management,single,tertiary,no,8038,yes,no,3,152,1,no,failure
self-employed,married,secondary,no,189,yes,no,1,120,1,no,failure
admin.,married,secondary,no,607,yes,no,2,364,3,yes,failure
management,single,tertiary,no,1274,yes,no,1,84,1,no,failure
blue-collar,married,primary,no,377,yes,no,4,272,1,no,failure
management,divorced,tertiary,no,649,no,no,2,91,1,no,failure
admin.,married,secondary,no,169,no,no,1,106,2,no,failure
self-employed,married,tertiary,no,506,no,no,1,120,1,no,failure
blue-collar,married,secondary,no,1143,yes,no,1,317,1,no,failure
retired,married,primary,no,-464,yes,no,1,190,6,no,failure
technician,single,secondary,no,246,yes,no,1,123,2,no,failure
blue-collar,married,primary,no,887,yes,no,2,363,1,no,failure
self-employed,married,secondary,no,2061,yes,yes,2,244,3,no,failure
blue-collar,single,secondary,no,24,no,no,1,363,1,no,failure
blue-collar,married,primary,no,188,yes,no,3,347,5,no,failure
management,married,tertiary,no,724,yes,no,2,172,1,no,failure
admin.,divorced,secondary,no,26,yes,no,1,359,1,no,failure
blue-collar,married,primary,no,1086,yes,no,1,272,2,no,failure
technician,married,secondary,no,0,yes,yes,8,204,5,no,failure
blue-collar,divorced,secondary,no,0,yes,no,1,173,1,no,failure
technician,married,secondary,no,4441,yes,no,2,183,2,no,failure
unknown,married,tertiary,no,353,no,no,1,93,2,no,failure
technician,single,tertiary,no,1185,yes,no,1,339,1,no,failure
blue-collar,married,secondary,no,2,yes,no,9,309,1,no,failure
services,married,secondary,no,9374,yes,no,8,185,1,no,failure
technician,single,secondary,no,1532,no,no,1,107,5,no,failure
retired,married,secondary,no,616,no,no,2,182,1,no,failure
services,married,secondary,no,3064,yes,no,3,107,4,no,failure
services,single,secondary,no,481,yes,no,2,183,2,no,failure
management,married,tertiary,no,176,yes,yes,1,687,2,no,failure
blue-collar,married,primary,no,53,yes,no,1,140,1,no,failure
blue-collar,married,primary,no,2805,yes,no,6,353,23,no,failure
management,married,tertiary,no,1612,no,no,1,182,5,no,failure
entrepreneur,married,tertiary,no,37,yes,yes,1,363,2,no,failure
management,married,tertiary,no,436,yes,no,1,345,1,no,failure
services,single,secondary,no,358,yes,no,1,356,3,no,failure
management,married,tertiary,no,0,no,no,4,107,2,no,failure
technician,married,tertiary,no,8023,no,no,1,87,4,no,failure
services,divorced,secondary,no,221,yes,no,1,360,1,no,failure
management,single,tertiary,no,1130,yes,no,3,74,4,no,failure
blue-collar,married,secondary,no,480,yes,no,1,352,2,yes,failure
unemployed,married,secondary,no,-872,yes,yes,1,183,1,no,failure
blue-collar,divorced,secondary,no,33,yes,no,2,167,1,no,failure
student,married,secondary,no,260,no,no,1,152,6,no,failure
technician,married,secondary,no,589,yes,no,1,76,4,no,failure
